Text,Polarity ,
প্রকৃতি প্রেমী মানুষটি তার দোকানের নাম দিয়েছেন 'গাছ দোকান'।,Positive,
নিঃশ্বাস জানান দিচ্ছে বেচে আছি,Neutral,
আপনাদেদ ভিডিও গুলো দেখে নতুন নতুন অনেক কিছু শেখা যায়।,Positive,
আপু আমি বানাইছি অনেক মজা হইছে....,Positive,
ছোট্ট পরীর আগমনে আমরাও খুব আনন্দিত।,Positive,
প্রিয় সাকিব ভাই ও তার বাবুদের নেক হায়াত কামনা করছি।,Positive,
কারা যেন বলছিল সাকিব দেশে আসলে করোনা নেগেটিভ হলেই অনুশীলন করতে পারবে।,Negative,
যাক এত বছর খালি আম্মু আমারে ই জমিদার বইলা আসছে ঘুমানোর জন্য।,Positive,
দীর্ঘজীবি হোক আপনার পুরো পরিবার।,Positive,
সাকিব দেখছি আমাদের মত নবাবজাদা।,Negative,
ভালো লাগার মত একটি অসাধারণ ছবি,Positive,
দুইপাশে দুইটা পরী নিয়ে ঘুমাইলে ঘুম বুঝি এতোটাই শান্তির হয়।,Positive,
ছবিটি দেখে অনেক ভালো লাগছে।,Positive,
বস আপনার খেলা দেখার জন্য অধিক অগ্রহে আছি।,Positive,
"সাকিব ক্রিকেট থেকে আলাদা, ক্রিকেট ও করোনার জন্য অফ।",Negative,
বিশ্বসেরা অলরাউন্ডার এই বিশ্বের ইতিহাসে লিখে থাকা নাম সাকিব আল হাসান,Positive,
মাঠের বাহিরেও আপনি বিশ্বসেরা!,Positive,
হুম দেশে বসেই এন্টার্টিক এর আবহাওয়া উপভোগ করা যাবে,Positive,
বরফে ঢেকে যাক পৃথিবী ।,Negative,
বিজ্ঞান আমাদের কেথায় নিয়ে গেছে কল্পনা করা যায়!,Positive,
পৃথিবী কি দ্বিতীয় বৃহত্তম গ্রহ???,Neutral,
কিন্তু চাঁদে তো আরো আগেই যাওয়া হয়েছে ।,Neutral,
"কয়েকটা ইংরেজি পেইজ আছে,যারা বিজ্ঞান ভিত্তিক ডকুমেন্টারী তৈরি করে।",Neutral,
আমাদের দেশে আমরা হাজার হাজার ময়লা কাগজ প্লাস্টিক ফেলি ড্রেনে।,Negative,
মাত্রাতিরিক্ত কোনো কিছুই ভালো না।,Negative,
পোস্টটা দেখার পর আবার একটু হাসলাম।,Neutral,
যতই দেখছি ততই জানছি।।।,Positive,
বাড়িতে নিয়ে আইসা সেবাযত্ন করব।,Positive,
এতো সুন্দর যায়গায় একবার যদি যেতে পারতাম,Positive,
বিজ্ঞানপ্রিয় টিম বরাবরই আমাদের জ্ঞান ও বিজ্ঞানের তৃষ্ণা মিটিয়ে এসেছে!,Positive,
রিয়াদ ভাইকে টেস্ট দলে না রাখাটা অন্যায় হচ্ছে,Negative,
শ্রীলংকা সিরিজে মাহমুদউল্লাহ কই?,Negative,
কতটা পরিশ্রম করে এই কাজ করতে হয় যে করে সেই জানে,Negative,
আপনাদের মত আর কিছু সচছ নেতা থাকলে প্রধানমন্ত্রীর হাত অনেক শক্তিশালী থাকতো।,Positive,
সুস্থ হয়ে ফিরে আসুন কর্মময় জীবনে।,Positive,
বঙ্গবন্ধু চিরকাল স্মরণীয় থাকুন বাঙা‌লির হৃদাকা‌শে ।,Positive,
রাজনীতির ঐতিহ্য এর ধারা অব্যাহত থাকবে এ আশা আমরা করতে পারি।,Positive,
বঙ্গবন্ধুর মতো নেতাকে পেয়ে আমরা গর্বিত,Positive,
এইতো আপুনি টা চলে এসেছে মজাদার খাবার নিয়ে,Positive,
আপনারা কাজগুলো অনেক সুন্দর,Positive,
এখানে না আসলে বুঝতামই না আপুরা এত্ত ক্রিয়েটিভ।,Positive,
এ যেনো স্বপ্নের রাজ্যে নিশ্চিন্তে শান্তির ঘুম।,Positive,
অনেক উপকারী আর সুন্দর একটি উদ্দ্যোগ,Positive,
এত অসাধারণ জিনিস আমি আগে কখনো দেখিনি।,Positive,
